Atlanta,,Boston,,Chicago,,Los Angeles,,Miami,,New York,,Philadelphia,,Salt Lake City,,San Francisco,,Seattle,,All cities,
All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours
-0.002043544082,-0.007776882499,-0.0003245974367,-0.005596748088,-0.01077467017,-0.01544945594,-0.003027142258,-0.008617813699,-0.004986788612,-0.01125999447,-0.000988638727,-0.005827043671,-0.007864040323,-0.01294647064,-0.009311736561,-0.01297623292,-0.009683136828,-0.01546020899,-0.001707551884,-0.006329154596,-0.005071185064,-0.01022399962
-0.0002333555894,-0.002125221305,-0.005582004786,-0.006898639724,-0.01058114879,-0.01316922065,0.002019979758,-0.0007283052546,-0.007431482896,-0.0103241466,-0.003244933905,-0.005464673508,-0.006443826016,-0.008951095864,-0.002285244176,-0.004258443136,-0.0005943381693,-0.003193409415,-0.002115459181,-0.004471104126,-0.003649182385,-0.005958425812
0.000455452915,-0.00286266394,-0.003214694327,-0.007163857576,-0.009393269196,-0.01457155589,-0.002169528045,-0.005780389998,-0.006141037215,-0.01042138878,0.001311900793,-0.003708996577,-0.004736823961,-0.007842118852,-0.01094574761,-0.01294145267,-0.01254102588,-0.01615131274,-0.001525881002,-0.007058835123,-0.004890065175,-0.008850257844
-0.00302638812,-0.006015684921,-0.01103445236,-0.01444528718,-0.01097968128,-0.01368883997,0.001911848667,-0.0006528314552,-0.004818783142,-0.007691012695,-0.003120331326,-0.006063932087,-0.005405403674,-0.009225687943,-0.01060668752,-0.01461465377,-0.001994319027,-0.00439253496,-0.003388003912,-0.006452919915,-0.005246221554,-0.008324338123
-0.001840274199,-0.006080647465,-0.003207059111,-0.007233337965,-0.006180609111,-0.009033642709,-0.00253637787,-0.005600282457,-0.005785810295,-0.008034748025,-0.00110004528,-0.00627126405,-0.004927831702,-0.009416679852,-0.007738747168,-0.01035526302,-0.01109031029,-0.01461029146,-0.002137976466,-0.00547075225,-0.004654504824,-0.008210689761
-0.002178597264,-0.005693275947,-0.007993957028,-0.01149470732,-0.00883917883,-0.01186103746,-0.001964769792,-0.004858925007,-0.00253443257,-0.005785720889,-0.001555796829,-0.005142123438,-0.004914865363,-0.009119532071,-0.008016681299,-0.01215151045,-0.002839458175,-0.006236979272,-0.008129466325,-0.01157314703,-0.004896721337,-0.008391695097
0.0008282944909,-0.003452563426,-0.004041657783,-0.007046315353,-0.008514659479,-0.0136031108,0.0001649644546,-0.003609410487,-0.007195642218,-0.01085502375,-0.002212001476,-0.006194078829,-0.003100919537,-0.007661315147,-0.005419873167,-0.008708642796,-0.01094968617,-0.013796933,-0.003772344207,-0.007343359292,-0.004421352874,-0.008227074519
-0.00433079293,-0.005204381887,-0.008586352691,-0.00947848428,-0.006894583348,-0.0081136683,-0.0008985046297,-0.002170650056,-0.007727983873,-0.01088242698,-0.008613632992,-0.009731554426,-0.00992664136,-0.01054786611,-0.003863257356,-0.005232878029,-0.006866058335,-0.007748601958,-0.005885648075,-0.00815503858,-0.005215898156,-0.006359906401
-0.001486495719,-0.005311768502,-0.002444671234,-0.006378397811,-0.006133259274,-0.01044670492,-0.0008156088879,-0.003771328134,0.0003733996127,0.001570682158,-0.0004607127048,-0.005077261012,0.0006928415969,-0.004268764984,-0.006599788554,-0.01206275541,-0.00891027227,-0.01256149169,-0.0004849114339,-0.003645419143,-0.003437085776,-0.007440632209
-0.002966518514,-0.001709034084,-0.008140970953,-0.007963785902,-0.009875453077,-0.008439564146,-0.004437877797,-0.002608319977,-0.003479933832,-0.00782245677,-0.005553140305,-0.003842377337,-0.007034726907,-0.004935077857,-0.002442752477,-0.001899636816,-0.001828523469,-0.0001722617744,-0.006174136419,-0.005477046128,-0.004808071535,-0.00354764238
-0.005452425219,-0.01051538717,-0.004406427965,-0.007925885729,-0.006164612714,-0.01088175084,-0.003642627038,-0.006702525076,-0.004096412566,-0.004389773589,0.001809024136,-0.002692450536,-0.00166493142,-0.005788875278,-0.007930630818,-0.01265764609,-0.008657663129,-0.01389044523,-0.001958782552,-0.006025278941,-0.004154901486,-0.008490268141
-0.003647416597,-0.002728763968,-0.007842861116,-0.007173787337,-0.01196552906,-0.01063759346,-0.004647185095,-0.005029651802,-0.002920039464,-0.007687798236,0.0007432131679,0.0007155844942,-0.002199447015,-0.002874491038,-0.006178861484,-0.006558453199,0.001219919766,0.001685556606,-0.007604402024,-0.007260590326,-0.004621897824,-0.004425196908
