Atlanta,,Boston,,Chicago,,Los Angeles,,Miami,,New York,,Philadelphia,,Salt Lake City,,San Francisco,,Seattle,,All cities,
All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours
0.2083674818,-0.003573797643,0.2911404073,0.113041006,0.2806058526,0.09318391234,0.3436975479,0.1490226835,0.45443964,0.2696713805,0.0476330705,-0.1537515521,0.2745283842,0.1128474399,0.4933620989,0.3169974089,0.3113875389,0.3322595954,-0.1569283009,0.4840950072,0.231451273,0.0476299338
0.317941308,0.4341672659,0.3003086746,0.4040079415,0.3661545515,0.4494684041,0.1988862157,0.2609105706,0.3547888398,0.4368221462,0.3184539676,0.4148502648,0.2911823988,0.3611253798,0.2939167917,0.3475329578,0.08839836717,0.4306687415,-0.1226684749,0.4215171635,0.3184010386,0.3925239444
0.2225953788,0.0532399565,0.2505914867,0.06131671369,0.3145919144,0.1488668174,0.3751321435,0.2234344482,0.4246702492,0.2758730948,0.09347416461,-0.1120993868,0.2349807471,0.06546936929,0.4683192372,0.285911113,0.3498041928,0.4209917486,0.4225716591,-0.2519812882,0.2350085378,0.05514229834
0.3323009312,0.4141836166,0.3079801798,0.3925285637,0.3985305429,0.4596726,0.2249386311,0.2438997179,0.4285155535,0.4929628074,0.3269843757,0.3945866525,0.3091337383,0.3679530621,0.3283288181,0.3970403969,0.1429343969,0.05017041788,-0.08169619739,0.4089713097,0.3429088593,0.4015013576
0.2099587172,0.02663046308,0.2791929841,0.08453949541,0.3294577599,0.1780262738,0.3758988082,0.2135504037,0.4762975276,0.3373379707,0.1112258807,-0.04662767425,0.2270577848,0.05511022732,0.3909683824,0.2226990461,0.3566336036,0.4448860884,0.4073757827,-0.2366710454,0.2461295873,0.07420735061
0.3692827225,0.4582521021,0.3213123679,0.4431359768,0.4215287566,0.447445631,0.232849434,0.2935132086,0.4500108063,0.4892567694,0.3098381758,0.3622889221,0.2473508567,0.3447550237,0.3365304768,0.4956845939,0.1879095137,0.07313574851,-0.05129318684,0.4382224977,0.3452711999,0.4164295793
0.2408820093,0.05803653598,0.2585050464,0.07737164199,0.3204131126,0.1480149925,0.3578747213,0.1860567927,0.4546655118,0.2774252892,0.1432774961,-0.01630523242,0.2551290393,0.09124537557,0.3126392961,0.1336157322,0.3327932954,0.4698560536,-0.07232708484,-0.2281841487,0.2480003089,0.07689605653
0.3186147511,0.3992503583,0.3889356852,0.5106241107,0.434743464,0.482047528,0.2832292318,0.3425824642,0.4579865336,0.5128100514,0.3486361206,0.4686703682,0.2408205569,0.3142670095,0.3631949723,0.5197507739,0.2497235388,0.1238498315,-0.0556576699,0.5074279904,0.359641403,0.443311125
0.2462627292,0.09253700823,0.2745577991,0.1118405685,0.3337453008,0.1512118131,0.4081971049,0.2408060282,0.4823764265,0.320171833,0.1127726212,-0.064745076,0.1810993105,0.02463131584,0.2964545488,0.1404006034,0.3140700758,0.4887634516,0.4067991972,-0.2370208502,0.2512862384,0.08618054539
