Atlanta,,Boston,,Chicago,,Los Angeles,,Miami,,New York,,Philadelphia,,Salt Lake City,,San Francisco,,Seattle,,All cities,
All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours
-0.0759113729,-0.06889872998,-0.05045698583,-0.04046168178,-0.09514110535,-0.09162466973,-0.1983395368,-0.2034343332,-0.125309974,-0.1096410751,-0.04803980142,-0.05444120988,-0.07507477701,-0.06615688652,-0.1282429993,-0.1149672493,0.01711792871,0.01520664617,-0.0242084004,-0.01802659966,-0.07898174971,-0.06896398962
-0.007515485398,-0.01647111028,-0.08010791242,-0.07820478082,-0.09985040128,-0.1059551612,-0.2077874243,-0.2136223763,-0.1651538908,-0.1665421873,-0.04443272203,-0.04647212848,-0.06181459129,-0.07020570338,-0.05628624931,-0.06056549773,0.02072047256,0.01500422042,-0.02432680316,-0.02971029095,-0.07243167609,-0.07703237981
-0.06562606245,-0.06582454592,-0.04670500383,-0.04720550776,-0.08989029378,-0.07272396982,-0.1497668028,-0.1447620392,-0.1292627454,-0.132244125,-0.006061029155,-0.03792008758,-0.08739876747,-0.07644548267,-0.1297663599,-0.1252335161,0.02679858729,-0.07804279774,-0.02320565656,-0.01936998777,-0.0799510479,-0.07588412613
-0.06637211144,-0.004525099415,-0.07094169408,-0.08281550556,-0.1089520976,-0.1113198176,-0.2246018052,-0.218454361,-0.1793527603,-0.1823160499,-0.03728574887,-0.05647163466,-0.05564137176,-0.05518490076,-0.05477909371,-0.06203247234,0.01728878729,0.01781179756,-0.01881966181,-0.01602686383,-0.07219347358,-0.07593109459
-0.02063637041,-0.05680562183,-0.03569413349,-0.02222415246,-0.08203167468,-0.08826386184,-0.1577622294,-0.1611395925,-0.1264508665,-0.1183123291,-0.04791354761,-0.0002089263871,-0.07176730782,-0.06592879444,-0.1229214594,-0.1222644746,0.01988680102,-0.07545151561,-0.01931145415,-0.008986674249,-0.0779818967,-0.07255753875
-0.07280780375,-0.02156946249,-0.08002364635,-0.08402616531,-0.09776831418,-0.09476012737,-0.2113073766,-0.2156317234,-0.1765411645,-0.1739360839,-0.03904962167,-0.04381071404,-0.06084158272,-0.0599895604,-0.05515671149,-0.05642220378,-0.07693070918,0.002428753534,-0.01640959457,-0.01883718558,-0.07370063663,-0.07323731482
-0.01406603027,-0.04820784926,-0.03938924894,-0.03498188779,-0.09116011113,-0.07971569151,-0.1516133398,-0.1483485848,-0.1081955358,-0.097443223,-0.0451216884,-0.000587647839,-0.07218966633,-0.05307381973,-0.1189604104,-0.1123392656,0.02182797715,0.01370350737,-0.02145973779,-0.001125832438,-0.0767673701,-0.06579987705
-0.06456217915,-0.02503863722,-0.07420928776,-0.07871038467,-0.09478402138,-0.1042911932,-0.2151147276,-0.2290665656,-0.1780567318,-0.1779435873,-0.02798336558,-0.05853549019,-0.0633142516,-0.07388412952,-0.06851577014,-0.074537687,-0.06274017692,-0.06993689388,-0.02468720265,-0.03470004722,-0.07500556856,-0.08233971149
-0.03145176172,-0.05463374034,-0.03368516266,-0.02639694698,-0.1073458716,-0.1092802286,-0.1616127789,-0.1533622444,-0.1162241697,-0.1079146862,-0.0240135286,-0.03874493763,-0.07056894898,-0.06076961756,-0.1103062555,-0.1098278761,0.01426636521,0.006770821288,-0.01622875407,-0.007278811187,-0.07570491731,-0.07001109421
-0.07348386943,-0.0459292382,-0.08417049795,-0.09300902486,-0.07852645218,-0.08821471781,-0.2068412155,-0.2136219293,-0.1646661907,-0.1782032251,-0.03684482723,-0.03589519486,-0.06258766353,-0.07610847801,-0.08260440826,-0.09688869119,-0.05266636983,-0.0408991538,-0.02955847606,-0.03654477373,-0.07704410702,-0.08853466809
-0.02962692641,-0.06985913962,-0.05370767415,-0.05130561814,-0.09910945594,-0.09691664577,-0.2030714452,-0.2160716057,-0.1197427511,-0.1055844054,-0.03901037201,-0.05385650322,-0.05656126887,-0.04128055647,-0.1197247356,-0.1047437564,0.01461341791,0.002844134113,-0.01429641154,0.005745483097,-0.07924190164,-0.07065098733
-0.07458151877,-0.03917343169,-0.07436145842,-0.07737922668,-0.08070755005,-0.08753348142,-0.1554838866,-0.2165305763,-0.1501828283,-0.1579699069,-0.01026518084,-0.06007269025,-0.07127468288,-0.08070332557,-0.06667616218,-0.07225663215,-0.05077259243,-0.04645801708,-0.0313183926,-0.04278757796,-0.07362242043,-0.0816257745
-0.03665957227,-0.06695917994,-0.0577946566,-0.04217119887,-0.09644787014,-0.08172488958,-0.202773273,-0.1519563645,-0.1184815541,-0.1098711491,-0.04599508271,-0.004039152991,-0.06563143432,-0.05620995164,-0.1049491838,-0.0917538479,0.0211094711,-0.003881002776,-0.01005735993,0.006198041607,-0.07528418303,-0.06447774917
-0.0656510964,-0.04349648952,-0.05980139971,-0.07658525556,-0.06203107163,-0.07053490728,-0.1590882391,-0.2227624208,-0.1421106011,-0.143775776,-0.01469128858,-0.05906273797,-0.05609837919,-0.0661271885,-0.06039013714,-0.0727269426,-0.05831256136,-0.03916598856,-0.0230810903,-0.03120102733,-0.06493990868,-0.07524933666
-0.038992621,-0.05201004446,-0.04444714263,-0.04106360301,-0.09877996892,-0.0898270905,-0.2073815167,-0.1608448774,-0.1224124506,-0.1026364937,-0.03713564202,-0.01103590149,-0.06548450142,-0.05874596164,-0.1072781831,-0.09756034613,0.02091920562,0.007143957075,-0.001190717798,0.004498438444,-0.07161394507,-0.05875919759
-0.05299772695,-0.04857857898,-0.04918324947,-0.06040978432,-0.05234546214,-0.0682330206,-0.1659264565,-0.2185984403,-0.1276887208,-0.1404216588,-0.01508925762,-0.04777251557,-0.0594211556,-0.07163269818,-0.0546740368,-0.06425916404,-0.04165806249,-0.05032076314,-0.01962994225,-0.03564696386,-0.06921873242,-0.07387632877
-0.02993908711,-0.04280473664,-0.06144777685,-0.05368588865,-0.1066333503,-0.09390353411,-0.206459865,-0.2236704677,-0.1156778038,-0.1009188965,-0.04405149072,-0.002142703859,-0.05319126695,-0.036414776,-0.1103746518,-0.1046938971,0.01369918231,0.007764205337,0.01038859319,0.02413382195,-0.07208241522,-0.05870122835
-0.06100833789,-0.03965420648,-0.04795590416,-0.05538854375,-0.04974831641,-0.06001416966,-0.1543958783,-0.2295278907,-0.1415552497,-0.1459359378,-0.02572599426,-0.05430782959,-0.04632369801,-0.05893493071,-0.05415477231,-0.07100105286,-0.03624172509,-0.02782498859,-0.02215719223,-0.04112437367,-0.0640815869,-0.07525531203
