Atlanta,,Boston,,Chicago,,Los Angeles,,Miami,,New York,,Philadelphia,,Salt Lake City,,San Francisco,,Seattle,,All cities,
All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours
1.41487968,1.207706571,0.9201039672,0.7193223834,0.4861600101,0.2765159011,1.018394232,0.8055224419,0.5431118011,0.3376335204,0.9060229063,0.7012276053,1.084588766,0.8846943974,0.3239554763,0.1137387156,0.3158845305,0.1204634532,0.6053661108,0.3950494528,0.7618467808,0.5561874509
0.9111290574,0.7039284706,0.728777051,0.5355693102,0.461233288,0.2491897494,0.7762854695,0.5390511751,0.6529604793,0.483222872,0.7750023603,0.5953299403,0.7224296927,0.5395604372,0.7306330204,0.5170853734,0.6265382171,0.4546068907,0.7965860963,0.6259201765,0.7181575298,0.5243464708
1.49101758,1.314729333,0.9429342747,0.7514600754,0.7440958619,0.5436027646,1.117562413,0.935341835,0.1608478725,-0.02827657014,0.6892607212,0.4855850041,1.383585453,1.188342214,0.2348112762,0.08320140839,0.5180091858,0.3281119168,0.6011687517,0.4275917113,0.7883295417,0.6029689908
0.9935359359,0.6850640178,0.9296858907,0.630772531,0.4696834981,0.2030123472,0.6429572701,1.065574765,0.5573086143,0.3081017435,0.8043425083,0.5612612367,0.9184024334,0.6503841877,0.5453013182,0.2806330621,0.5092958212,0.280046612,0.808555603,0.5959008336,0.7179070115,0.4549676776
1.471283555,1.375184059,0.9640219808,0.8695660233,0.864728272,0.7756624222,1.196477771,0.5451895595,-0.01227187552,-0.0777111277,0.4843159914,0.3825568855,0.8760271072,0.5716124177,0.3241577446,0.2484059781,0.6615277529,0.5867865086,0.6323159337,0.5376399159,0.8127087355,0.7187404633
0.8775005341,0.4980289638,0.9651250839,0.6385141611,0.5754407048,0.2315708995,0.8591578603,0.5879502296,0.4216696322,0.1057080403,0.7777531147,0.420694679,0.8779163361,0.6073024273,0.4186627269,0.1572419703,0.464343667,0.1631974429,0.8752900362,0.5823439956,0.7110967636,0.3914102316
1.268035412,1.172873378,1.260698438,1.149475217,0.5335888863,0.4405343831,0.7110254765,0.6368157864,-0.03645212948,-0.1575426608,0.4470258951,0.3479708135,1.366776586,1.236562252,0.2744218409,0.1665064842,0.5517777801,0.4705924094,0.4251235425,0.3493745625,0.6951380968,0.594237864
0.9721761346,0.6907308698,0.8748114705,0.5770884156,0.2627767324,-0.0276966393,0.9142710567,0.459747225,0.3080460727,0.07828906178,0.7127037048,0.4322437346,0.9606622458,0.7195474505,0.344830215,0.05321319029,0.247877568,-0.02325656451,0.8145771623,0.540038228,0.6329985261,0.3564768732
1.181999922,1.00969398,1.201382518,1.026090264,0.7227831483,0.5597918034,0.5993328094,0.6885096431,-0.009037301876,-0.1576444805,0.3978296816,0.2924380898,1.032467842,0.8502519131,0.4843555689,0.3443437517,0.3756316304,0.2840850353,0.447575599,0.3303724825,0.6768630743,0.5385481119
0.9386693239,0.658125639,0.9707489014,0.6729032397,0.4133809507,0.1192066371,0.9738509059,0.8447518349,0.3608722687,0.09302777052,0.9915714264,0.7429038882,0.8495419025,0.6928578019,0.4627833962,0.1705570966,0.3868723512,0.09748641402,0.9505304694,0.6770871282,0.7409943938,0.4639354348
1.021778107,0.8126165271,1.277877212,1.04600811,0.6034972668,0.4206725359,1.027038097,0.6771495342,0.3585000634,0.1672582179,0.4757362008,0.2811626494,0.8947072625,0.6690979004,0.8072731495,0.6025047898,0.5281270146,0.3367038667,0.7260048985,0.5314743519,0.7858300209,0.589340508
0.8451634049,0.6826545596,0.9226459861,0.7057712078,0.1777349561,-0.02182143368,0.8871911168,0.9188971519,0.29831779,0.1276913285,0.8473069668,0.6652598977,0.6986716986,0.6609513164,0.4113998413,0.2510683239,0.1976086199,0.02154616453,0.9548155069,0.7325766683,0.639172554,0.4534753859
1.271681905,1.066672564,1.170922518,0.9524927139,0.573877573,0.3577795029,1.128477812,0.8732318282,0.2651971281,0.04336803779,0.6739807129,0.4532717764,0.9490369558,0.760825932,0.5591375828,0.3418364227,0.5671064854,0.3608369827,0.7311671376,0.5233374238,0.7836255431,0.5687589645
0.9678001404,0.8620331287,0.8007617593,0.6764954925,0.3725209534,0.2793865502,0.9482480288,1.014368415,0.2733635604,0.1504435688,0.8616676927,0.7912173867,0.791172564,0.6789138317,0.3101783097,0.2169111967,0.384996593,0.3455857038,0.9277249575,0.768083334,0.6545935273,0.5624339581
1.305378437,1.096954942,1.179772139,0.9876983166,0.5060279369,0.3074643612,1.208675623,0.7177059054,0.3737591207,0.1708226204,0.7348282337,0.5446765423,0.9106394053,0.7487909198,0.3698940277,0.1649918109,0.5382956862,0.3422762454,0.9320011139,0.7539558411,0.8097668886,0.6144035459
1.233231425,0.6032292843,0.7695897222,0.647041738,0.3275106549,0.2773514688,0.7545597553,0.993721962,0.2461377084,0.2280356288,0.71813941,0.7494288087,0.7030220628,0.7850058079,0.3415610492,0.3561871946,0.3694815934,0.3599281609,0.6209970713,0.5400164723,0.5564334393,0.5157839656
0.7308518887,1.067054868,1.108225942,0.9358077049,0.46754691,0.2932153046,1.172968626,0.9375148416,0.3213748932,0.16149427,0.6500564218,0.4996453524,0.9309293032,0.7546341419,0.3576283157,0.1851478368,0.4761193097,0.3113663197,1.00597167,0.8458396792,0.7703764439,0.604208529
1.266592622,0.751845181,0.7523556948,0.8744354844,0.4069258273,0.4310063422,0.7998117208,1.288086176,0.1988874972,0.1289666295,0.799236536,0.8504063487,0.9057519436,0.9174463153,0.2668265998,0.2895769179,0.4340709448,0.4547870159,0.8110851049,0.8757734299,0.5903072953,0.6379318833
0.9003819823,1.088996768,1.133574724,0.9693028331,0.3171105981,0.1420500726,1.45633018,0.9090223312,0.239519015,0.06209569052,0.7791264653,0.6058421731,1.252674937,1.064792037,0.4351578355,0.2569381297,0.4527429342,0.2853916585,1.155019999,0.981590569,0.8166102767,0.6434928179
1.232841611,0.8216227889,0.8594508767,0.7836990952,0.2092092931,0.219289422,0.8394819498,1.286369324,0.1976459026,0.1222658455,0.7429864407,0.7431840301,0.7118220925,0.7400924563,0.1688922495,0.2066168785,0.3456700146,0.3241840601,0.7691757679,0.7518765926,0.5938646197,0.5799207687
0.9004554749,1.064388633,0.9059470296,0.7459633946,0.342686981,0.1680919379,1.448205113,1.081586242,0.127422452,-0.03158895299,0.7561020255,0.6028518677,1.396475315,1.168271542,0.4809648693,0.3307545483,0.3978313804,0.2159537822,0.9475384355,0.7758695483,0.7892215252,0.6223446727
1.130502939,0.7986275554,0.8870397806,0.9619244933,0.1664006561,0.350487113,1.021171212,1.083052874,0.2134122103,0.314686805,0.7199725509,0.8824387193,0.7291926742,0.762781322,0.2330931276,0.2548682988,0.2033079416,0.3699338138,0.6467152834,0.7257363796,0.5703391433,0.6480380893
0.9527590871,0.8875150681,0.7450427413,0.5224114656,0.3657132387,0.129179135,1.308942318,1.572052002,0.3198948205,0.1018193141,0.9815341234,0.7728536129,1.304005146,1.17368257,0.3093278706,0.06727523357,0.2619422376,0.03635760397,0.53999722,0.3080110252,0.7359371185,0.5076746345
0.7954851389,0.9423151612,0.6029753089,0.5270560384,0.3088519871,0.3567298353,1.449762225,0.6686069965,-0.1162019521,-0.08614727855,0.9582756758,0.7349527478,0.7370138168,0.825784266,0.17336303,0.3950349391,0.2026326358,0.4140194952,0.6909615993,0.8651291728,0.5952572227,0.7102327943
1.111625433,0.6908150315,0.6770452857,0.5583426356,0.1313017756,-0.01899938285,0.8142449856,1.439687133,0.1763723046,0.01480260026,0.8982145786,0.5256730318,0.4799601734,0.5240755081,0.3871860206,0.2696155012,0.4666802585,0.5486676693,0.5146533251,0.4150145352,0.5690197945,0.4351658821
0.7151898742,1.144478679,0.5478546023,0.4425702989,0.8055034876,0.9000344276,1.425058365,0.7760093808,0.1669230163,0.12209896,0.6700981855,0.7591524124,0.7120133638,0.6254783273,-0.07251739502,-0.136937499,0.3056904674,0.3602606356,0.8586192727,0.9084118009,0.7403824329,0.7569112182
1.157952189,0.7110993862,0.3696146011,0.4455058873,0.4097405672,0.3776138723,0.827329874,1.289331794,-0.157920137,-0.1426407248,0.7206526995,0.8232809901,0.3249197006,0.3791582286,0.3716023564,0.382201761,0.3853471577,0.445078969,0.6780821085,0.6790676117,0.7595657706,0.463886559
0.9109843969,1.149739027,0.6957219839,0.6525802612,0.608222127,0.5745617747,1.255324244,0.7538006902,0.1363357902,0.1386904269,0.7648470402,0.6381043792,0.809774518,0.7818496823,0.1214354411,0.04826712608,0.3960876763,0.4336955845,1.149451137,1.199871898,0.7949069738,0.7630414367
1.454067945,0.9573006034,0.245660305,0.35317716,0.5232023001,0.542372942,0.7508093715,1.167902589,-0.1228695214,-0.0126940608,0.5496809483,1.167791009,0.6530891657,0.7676962018,0.07305537164,0.1965037137,0.336714685,0.2433750778,0.6872814894,0.6865179539,0.5959150195,0.5048984289
0.9818211794,1.328165531,0.840782702,0.8510968685,0.6222445965,0.6109390855,1.257976651,1.109070182,0.3624868393,0.4398805201,1.034723401,0.9435142875,0.7159141898,0.7686972022,-0.001870753709,0.00346738589,0.3030870557,0.3406971395,0.9513579011,0.9036381245,0.7529222369,0.7645466328
1.111157894,1.041545391,0.5600961447,0.6692998409,0.217506066,0.21321325,0.9280255437,1.361941695,0.2272144705,0.2087955475,0.7727238536,0.7688169479,0.6399387717,0.66710186,0.4652175903,0.5296871662,0.2810810506,0.3299544156,0.8582473397,0.9136280417,0.5505391955,0.6616914272
0.6911302805,1.12776947,0.7725334764,0.9305698872,0.4890429676,0.3021714985,1.41795671,0.8757249713,0.1053169817,0.2970672846,0.7638283372,0.7755122185,0.6534451842,0.7733461261,0.2694640756,0.4459836483,0.2914251983,0.34197101,1.004325628,0.8796343207,0.7073013783,0.7985448241
1.383314252,0.7009782195,0.7955628037,0.9578011632,0.2927002311,0.3882555664,0.8293582201,1.06991303,0.08081165701,0.2040092796,0.7445549369,1.117105365,0.5946554542,0.7606170774,0.5466862321,0.6486379504,0.4301026464,0.4990646839,0.7880992889,0.8884190917,0.6163566113,0.631100297
