reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.01,10.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.025,20.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.05,27.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.1,37.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.15,44.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.2,50.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.25,54.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.3,57.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.35,60.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.4,63.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.45,66.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.5,69.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.55,72.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.6,75.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.65,78.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.7,81.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.75,84.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.8,88.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.85,94.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.9,100.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.95,113.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.975,126.0
2026-03-21,wk inc covid hosp,0,2026-03-21,01,quantile,0.99,155.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.01,0.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.025,0.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.05,0.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.1,1.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.15,2.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.2,3.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.25,4.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.3,5.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.35,5.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.4,6.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.45,7.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.5,8.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.55,9.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.6,10.0
2026-03-21,wk inc covid hosp,0,2026-03-21,02,quantile,0.65,11.0
