reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.01,11.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.025,23.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.05,25.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.1,30.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.15,32.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.2,33.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.25,34.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.3,35.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.35,36.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.4,37.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.45,38.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.5,39.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.55,40.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.6,41.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.65,42.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.7,43.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.75,44.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.8,47.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.85,51.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.9,56.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.95,58.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.975,61.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.99,65.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.01,1.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.025,1.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.05,1.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.1,1.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.15,2.0
