reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.01,48.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.025,52.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.05,56.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.1,60.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.15,62.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.2,64.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.25,66.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.3,68.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.35,70.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.4,71.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.45,73.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.5,75.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.55,76.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.6,78.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.65,80.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.7,82.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.75,84.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.8,87.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.85,90.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.9,95.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.95,103.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.975,110.0
2026-08-22,wk inc covid hosp,0,2026-08-22,01,quantile,0.99,118.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.01,0.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.025,1.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.05,1.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.1,1.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.15,2.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.2,2.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.25,2.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.3,3.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.35,3.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.4,3.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.45,3.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.5,4.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.55,4.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.6,4.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.65,5.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.7,5.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.75,5.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.8,6.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.85,6.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.9,7.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.95,8.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.975,8.0
2026-08-22,wk inc covid hosp,0,2026-08-22,02,quantile,0.99,10.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.01,34.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.025,36.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.05,39.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.1,42.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.15,44.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.2,46.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.25,47.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.3,49.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.35,50.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.4,51.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.45,53.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.5,54.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.55,55.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.6,57.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.65,58.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.7,60.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.75,62.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.8,64.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.85,66.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.9,70.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.95,76.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.975,81.0
2026-08-22,wk inc covid hosp,0,2026-08-22,04,quantile,0.99,87.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.01,6.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.025,7.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.05,8.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.1,9.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.15,10.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.2,11.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.25,12.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.3,12.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.35,13.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.4,13.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.45,14.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.5,14.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.55,15.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.6,15.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.65,16.0
2026-08-22,wk inc covid hosp,0,2026-08-22,05,quantile,0.7,17.0
