reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.01,8.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.025,10.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.05,12.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.1,15.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.15,18.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.2,20.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.25,21.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.3,23.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.35,24.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.4,25.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.45,27.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.5,29.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.55,30.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.6,32.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.65,34.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.7,36.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.75,38.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.8,40.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.85,44.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.9,48.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.95,53.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.975,62.0
2026-04-04,wk inc flu hosp,0,2026-04-04,01,quantile,0.99,74.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.01,1.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.025,2.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.05,2.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.1,3.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.15,3.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.2,4.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.25,5.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.3,5.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.35,6.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.4,6.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.45,7.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.5,8.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.55,8.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.6,9.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.65,9.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.7,10.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.75,10.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.8,11.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.85,12.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.9,13.0
2026-04-04,wk inc flu hosp,0,2026-04-04,02,quantile,0.95,15.0
