reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.01,5.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.025,7.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.05,8.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.1,8.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.15,10.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.2,11.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.25,13.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.3,15.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.35,16.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.4,18.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.45,20.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.5,22.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.55,23.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.6,25.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.65,28.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.7,30.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.75,33.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.8,37.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.85,42.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.9,50.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.95,65.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.975,81.0
2026-05-02,wk inc flu hosp,0,2026-05-02,01,quantile,0.99,105.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.01,0.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.025,0.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.05,0.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.1,1.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.15,1.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.2,2.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.25,2.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.3,2.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.35,3.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.4,3.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.45,4.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.5,4.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.55,4.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.6,5.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.65,5.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.7,6.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.75,7.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.8,8.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.85,9.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.9,11.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.95,14.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.975,17.0
2026-05-02,wk inc flu hosp,0,2026-05-02,02,quantile,0.99,20.0
2026-05-02,wk inc flu hosp,0,2026-05-02,04,quantile,0.01,20.0
