reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.01,27.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.025,32.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.05,32.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.1,32.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.15,34.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.2,38.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.25,38.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.3,42.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.35,42.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.4,42.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.45,42.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.5,45.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.55,45.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.6,47.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.65,47.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.7,49.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.75,49.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.8,55.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.85,55.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.9,58.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.95,70.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.975,81.0
2026-03-28,wk inc flu hosp,0,2026-03-28,01,quantile,0.99,81.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.01,1.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.025,4.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.05,4.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.1,4.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.15,4.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.2,4.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.25,4.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.3,4.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.35,5.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.4,5.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.45,6.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.5,6.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.55,8.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.6,9.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.65,9.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.7,10.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.75,10.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.8,12.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.85,12.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.9,12.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.95,14.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.975,20.0
2026-03-28,wk inc flu hosp,0,2026-03-28,02,quantile,0.99,20.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.01,60.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.025,63.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.05,63.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.1,69.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.15,76.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.2,82.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.25,85.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.3,90.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.35,90.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.4,92.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.45,98.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.5,103.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.55,104.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.6,107.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.65,110.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.7,114.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.75,117.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.8,124.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.85,128.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.9,137.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.95,152.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.975,170.0
2026-03-28,wk inc flu hosp,0,2026-03-28,04,quantile,0.99,170.0
