reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.01,13.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.025,15.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.05,17.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.1,21.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.15,23.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.2,25.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.25,25.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.3,26.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.35,26.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.4,27.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.45,27.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.5,27.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.55,28.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.6,29.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.65,30.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.7,30.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.75,30.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.8,34.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.85,34.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.9,35.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.95,47.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.975,61.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,01,quantile,0.99,65.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,02,quantile,0.01,3.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,02,quantile,0.025,3.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,02,quantile,0.05,4.0
2026-03-28,wk inc rsv hosp,0,2026-03-28,02,quantile,0.1,5.0
